age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,predicted_income
12,4,11,8,5,8,4,2,1,28,<=50K
23,4,15,9,0,4,1,4,0,38,<=50K
13,4,9,12,2,12,0,4,0,19,<=50K
44,6,15,9,2,1,0,4,0,48,<=50K
29,4,15,9,3,3,1,1,0,38,<=50K
34,4,11,8,2,3,0,4,0,38,<=50K
25,4,9,12,2,4,0,4,0,38,<=50K
8,4,0,5,4,6,3,2,0,38,<=50K
32,4,9,12,2,12,0,4,0,48,>50K
41,4,0,5,2,14,0,4,0,38,<=50K
39,5,9,12,2,12,0,4,0,48,>50K
34,5,9,12,0,5,4,4,0,48,<=50K
49,0,1,6,4,0,1,4,0,28,<=50K
21,4,11,8,2,12,0,4,0,53,<=50K
36,5,15,9,6,12,1,4,1,58,<=50K
0,4,1,6,4,11,3,4,1,28,<=50K
11,1,7,11,2,1,0,4,0,58,<=50K
20,6,14,14,2,10,0,4,0,48,>50K
12,4,11,8,2,7,0,4,0,38,<=50K
40,4,8,10,6,10,1,4,1,38,<=50K
10,2,12,13,4,10,1,4,1,38,<=50K
11,4,11,8,2,3,0,4,0,38,<=50K
14,4,0,5,4,8,1,4,0,38,<=50K
20,4,15,9,2,3,0,1,0,38,<=50K
22,4,11,8,0,1,1,4,1,38,<=50K
17,6,8,10,2,3,0,4,0,43,<=50K
15,4,8,10,2,13,0,4,0,38,<=50K
42,5,12,13,2,4,0,4,0,71,>50K
25,4,11,8,2,6,0,4,0,38,<=50K
30,7,10,15,0,10,4,4,0,48,<=50K
9,2,9,12,4,10,3,2,1,33,<=50K
22,4,11,8,4,12,4,2,1,38,<=50K
20,4,11,8,4,13,1,4,1,33,<=50K
16,4,12,13,2,13,0,4,0,14,<=50K
28,4,15,9,2,3,0,4,0,38,<=50K
45,0,11,8,2,0,0,4,0,17,<=50K
41,7,6,4,2,5,0,4,0,38,<=50K
33,6,11,8,2,4,0,4,0,30,<=50K
9,4,9,12,4,12,1,1,0,19,<=50K
24,1,11,8,2,14,0,4,0,38,<=50K
19,4,15,9,4,11,4,2,1,38,<=50K
30,0,11,8,5,0,4,2,1,30,<=50K
31,2,9,12,0,10,4,4,1,58,<=50K
46,6,11,8,2,5,0,4,0,43,<=50K
14,4,6,4,4,8,4,4,1,19,<=50K
6,4,15,9,4,1,3,4,0,19,<=50K
19,4,0,5,2,7,0,4,0,38,<=50K
10,4,11,8,4,7,4,2,0,38,<=50K
7,4,11,8,4,8,1,4,0,33,<=50K
24,6,11,8,2,12,2,4,1,38,>50K
8,4,11,8,4,6,1,4,1,38,<=50K
38,4,11,8,2,7,0,4,0,38,<=50K
34,4,12,13,2,4,0,4,0,48,>50K
3,4,15,9,4,10,1,4,1,38,<=50K
2,4,11,8,4,8,3,4,1,38,<=50K
25,6,11,8,0,3,1,4,0,38,<=50K
19,4,9,12,4,4,1,1,1,38,<=50K
29,4,11,8,2,8,0,4,0,48,<=50K
2,0,11,8,4,0,3,4,0,28,<=50K
5,4,15,9,4,13,2,1,1,30,<=50K
16,2,11,8,0,1,3,4,1,38,<=50K
3,4,11,8,4,6,3,4,0,38,<=50K
27,4,15,9,2,1,5,4,1,43,<=50K
22,4,9,12,4,4,3,1,1,33,<=50K
45,4,8,10,0,8,1,4,0,38,<=50K
38,4,9,12,2,4,0,4,0,40,>50K
7,0,9,12,4,0,3,4,0,38,<=50K
17,4,1,6,4,8,3,1,0,38,<=50K
21,6,12,13,2,10,0,2,0,58,<=50K
34,4,6,4,2,5,0,4,0,38,<=50K
25,4,12,13,4,4,1,4,0,43,<=50K
0,0,0,5,4,0,3,2,0,19,<=50K
9,0,9,12,4,0,1,4,1,71,<=50K
14,6,6,4,2,3,0,4,0,38,<=50K
35,4,8,10,0,8,4,4,1,38,<=50K
36,4,12,13,2,4,0,4,0,53,>50K
12,4,9,12,2,12,0,4,0,38,<=50K
50,0,11,8,6,0,2,4,1,7,<=50K
3,6,11,8,0,12,1,4,1,28,<=50K
14,4,11,8,4,3,4,4,0,38,<=50K
14,4,15,9,4,1,4,2,1,33,<=50K
25,2,15,9,2,1,5,4,1,38,<=50K
6,4,8,10,2,7,3,4,1,28,<=50K
7,4,15,9,4,12,3,4,0,19,<=50K
1,2,11,8,4,8,3,4,0,58,<=50K
6,4,11,8,4,3,1,4,0,38,<=50K
40,7,10,15,0,10,1,4,0,58,>50K
17,4,10,15,2,10,0,4,0,58,>50K
27,4,15,9,2,3,0,4,0,38,<=50K
5,4,8,10,4,10,1,4,0,28,<=50K
35,4,15,9,2,4,0,4,0,43,<=50K
30,4,11,8,0,3,4,4,1,41,<=50K
7,4,15,9,4,6,3,4,0,48,<=50K
19,2,15,9,0,1,4,4,1,62,<=50K
15,6,15,9,0,8,1,4,1,33,<=50K
53,5,15,9,2,4,0,4,0,28,<=50K
14,4,11,8,4,12,2,4,0,46,<=50K
35,4,15,9,2,4,0,4,0,53,<=50K
23,4,9,12,4,12,1,4,1,43,<=50K
44,0,5,3,2,0,0,4,0,38,<=50K
33,1,9,12,2,4,0,4,0,38,<=50K
36,4,15,9,2,1,0,4,0,48,<=50K
19,4,11,8,4,8,1,4,0,38,<=50K
40,4,15,9,4,3,1,4,0,40,<=50K
11,4,11,8,2,13,0,4,0,38,<=50K
32,4,9,12,2,4,0,4,0,38,<=50K
16,4,1,6,4,6,3,2,0,38,<=50K
22,6,10,15,0,1,2,3,0,38,<=50K
45,4,5,3,6,7,1,4,1,38,<=50K
37,4,1,6,2,8,5,2,1,38,<=50K
29,4,11,8,2,6,0,4,0,33,<=50K
25,2,15,9,2,3,0,4,0,38,<=50K
7,4,9,12,4,12,1,4,0,38,<=50K
35,4,10,15,2,4,0,4,0,55,>50K
27,4,11,8,4,1,1,4,1,41,<=50K
24,5,15,9,0,7,1,4,1,38,<=50K
2,4,11,8,4,6,1,4,0,28,<=50K
52,7,11,8,2,11,0,4,0,38,<=50K
42,2,0,5,6,8,4,2,1,28,<=50K
14,4,11,8,2,12,0,4,0,48,<=50K
4,4,15,9,4,1,3,4,1,38,<=50K
38,4,15,9,2,11,0,2,0,38,<=50K
28,4,11,8,2,1,0,2,0,38,<=50K
9,4,11,8,2,6,0,4,0,48,<=50K
31,2,12,13,2,10,5,4,1,38,>50K
26,4,8,10,2,4,0,4,0,46,<=50K
25,4,12,13,2,10,0,4,0,48,>50K
15,4,11,8,2,7,0,2,0,38,<=50K
14,4,9,12,2,7,0,3,0,34,<=50K
40,4,11,8,2,7,0,4,0,38,<=50K
21,4,15,9,2,12,5,4,1,38,<=50K
22,2,9,12,0,1,4,4,1,33,<=50K
34,4,9,12,2,4,0,4,0,53,>50K
18,2,15,9,2,8,0,4,0,38,<=50K
8,4,15,9,4,8,3,4,1,38,<=50K
14,4,9,12,4,10,4,2,1,38,<=50K
26,4,6,4,0,6,4,4,1,38,<=50K
21,2,9,12,2,4,0,4,0,38,<=50K
47,6,11,8,2,4,0,4,0,43,<=50K
28,5,9,12,2,4,0,4,0,49,>50K
31,6,8,10,2,8,5,4,1,14,<=50K
8,4,9,12,4,10,1,4,0,38,<=50K
21,2,9,12,2,10,5,4,1,19,<=50K
21,4,9,12,2,8,0,4,0,33,<=50K
7,4,7,11,4,4,3,4,0,38,<=50K
28,4,11,8,0,4,1,4,1,44,<=50K
34,4,11,8,2,13,0,4,0,48,<=50K
5,4,11,8,4,7,2,4,0,33,<=50K
27,4,11,8,5,1,1,4,1,38,<=50K
33,4,11,8,2,14,0,4,0,38,<=50K
30,2,15,9,4,11,1,2,0,38,<=50K
7,4,12,13,4,1,1,4,0,54,<=50K
27,4,11,8,2,3,0,4,0,39,<=50K
6,2,11,8,4,8,1,4,1,38,<=50K
15,4,9,12,2,3,0,4,0,38,<=50K
10,6,15,9,2,4,0,4,0,38,<=50K
18,4,11,8,3,8,4,2,1,19,<=50K
7,4,1,6,2,12,0,4,0,38,<=50K
10,4,11,8,2,3,0,4,0,38,<=50K
44,1,14,14,2,10,0,4,0,48,>50K
18,2,9,12,2,10,0,4,0,48,<=50K
10,4,9,12,4,10,1,4,1,19,<=50K
26,4,9,12,2,10,0,4,0,38,>50K
9,4,11,8,4,1,1,2,0,38,<=50K
15,4,0,5,2,3,0,4,0,38,<=50K
28,4,1,6,2,8,5,4,1,30,<=50K
34,4,11,8,2,1,5,2,1,36,<=50K
24,6,8,10,0,12,1,4,0,58,<=50K
26,6,9,12,2,10,0,4,0,20,<=50K
17,7,9,12,4,10,1,4,0,46,<=50K
0,4,4,2,4,8,2,4,0,46,<=50K
33,6,12,13,2,10,5,4,1,38,>50K
3,0,6,4,4,0,3,4,0,38,<=50K
56,7,5,3,0,8,1,1,1,38,<=50K
27,7,12,13,2,10,0,2,0,58,>50K
16,4,11,8,4,14,1,4,0,38,<=50K
50,6,10,15,2,12,0,4,0,38,>50K
12,4,11,8,2,3,0,4,0,48,<=50K
30,4,12,13,0,12,1,4,0,58,<=50K
5,4,15,9,0,7,3,4,1,38,<=50K
26,4,9,12,0,4,1,4,0,33,<=50K
20,4,9,12,2,10,0,4,0,37,<=50K
1,4,1,6,4,8,3,2,0,7,<=50K
14,4,11,8,2,14,0,4,0,62,<=50K
24,6,15,9,2,5,0,4,0,48,<=50K
30,4,11,8,0,8,4,4,1,30,<=50K
17,4,11,8,2,1,0,4,0,38,<=50K
30,4,11,8,2,7,0,4,0,38,<=50K
37,2,11,8,2,14,0,4,0,38,<=50K
38,4,11,8,2,8,0,4,0,38,<=50K
31,4,15,9,0,10,4,4,1,19,<=50K
46,5,11,8,2,4,0,4,0,38,<=50K
35,4,3,1,2,7,0,4,0,38,<=50K
9,4,11,8,2,10,1,2,0,38,<=50K
43,4,15,9,0,3,1,4,0,45,<=50K
17,6,15,9,4,3,1,4,0,58,<=50K
26,5,14,14,2,10,0,2,0,79,>50K
26,4,11,8,0,4,4,4,1,38,<=50K
45,4,10,15,2,10,0,4,0,38,>50K
26,4,12,13,2,10,5,4,1,43,>50K
24,4,8,10,2,13,5,4,1,36,<=50K
14,4,15,9,4,10,1,4,0,38,<=50K
18,4,1,6,5,14,1,2,0,38,<=50K
7,6,11,8,0,3,1,4,0,48,<=50K
12,1,9,12,1,10,0,4,0,48,<=50K
43,4,15,9,2,12,0,4,0,53,<=50K
14,4,11,8,2,1,5,4,1,38,<=50K
10,4,11,8,2,10,0,4,0,43,<=50K
7,4,15,9,4,12,1,4,1,14,<=50K
2,4,15,9,4,6,1,4,0,53,<=50K
24,7,9,12,2,1,0,4,0,48,>50K
5,4,8,10,4,3,3,4,0,48,<=50K
20,4,9,12,0,4,1,4,0,38,<=50K
44,4,4,2,2,3,0,4,0,38,<=50K
1,4,15,9,4,12,3,4,1,24,<=50K
30,2,15,9,0,10,1,4,1,38,<=50K
17,4,11,8,3,8,4,4,1,62,<=50K
30,4,11,8,2,3,0,4,0,38,<=50K
19,6,10,15,2,10,0,4,0,33,>50K
48,4,9,12,2,8,0,4,0,19,<=50K
27,4,9,12,2,10,0,2,0,48,<=50K
0,4,0,5,4,12,4,4,1,11,<=50K
36,4,9,12,2,12,0,4,0,48,>50K
25,4,15,9,2,13,0,4,0,19,<=50K
20,4,11,8,4,5,1,2,0,38,<=50K
16,6,9,12,2,10,0,4,0,58,>50K
12,4,11,8,4,4,1,4,0,38,<=50K
12,4,11,8,0,8,4,4,1,43,<=50K
21,5,15,9,2,3,0,4,0,36,<=50K
53,4,0,5,2,6,0,4,0,30,<=50K
30,4,11,8,2,3,0,4,0,46,<=50K
3,6,15,9,4,5,3,4,0,9,<=50K
16,4,9,12,2,4,0,4,0,58,<=50K
16,4,11,8,2,8,0,4,0,38,<=50K
40,2,11,8,0,1,4,4,1,38,<=50K
22,5,9,12,2,4,0,4,0,38,<=50K
10,4,1,6,4,4,4,4,1,43,<=50K
9,4,12,13,4,10,1,1,0,19,<=50K
21,6,15,9,2,5,5,4,1,14,<=50K
17,6,8,10,4,5,1,4,0,48,<=50K
39,1,9,12,2,10,0,4,0,38,<=50K
8,4,11,8,2,6,0,4,0,38,<=50K
45,7,11,8,2,8,0,4,0,38,<=50K
22,2,15,9,0,10,3,4,1,43,<=50K
21,4,11,8,4,10,1,4,0,38,<=50K
34,6,11,8,4,12,1,4,0,38,<=50K
5,0,15,9,4,0,3,4,0,66,<=50K
16,7,10,15,2,10,0,1,0,48,<=50K
33,5,15,9,2,4,0,4,0,48,<=50K
29,4,0,5,3,8,1,1,0,35,<=50K
20,2,11,8,2,3,0,4,0,38,<=50K
12,2,15,9,4,8,3,4,1,9,<=50K
33,4,11,8,2,3,0,4,0,38,<=50K
23,6,15,9,2,3,0,4,0,48,<=50K
7,4,9,12,4,12,3,4,1,14,<=50K
21,2,11,8,2,14,0,4,0,19,<=50K
18,4,9,12,2,4,0,4,0,45,<=50K
34,4,8,10,0,8,1,4,0,38,<=50K
14,6,9,12,4,13,1,4,1,38,<=50K
12,4,9,12,2,10,0,4,0,38,<=50K
23,4,9,12,2,4,0,4,0,48,>50K
29,4,8,10,5,7,1,2,1,38,<=50K
20,4,11,8,0,4,4,4,1,11,<=50K
12,4,11,8,4,3,1,4,0,48,<=50K
44,4,11,8,2,3,0,4,0,38,<=50K
14,4,11,8,4,8,1,4,1,38,<=50K
3,0,15,9,4,0,3,4,1,38,<=50K
20,4,12,13,5,4,1,4,0,58,<=50K
55,0,5,3,6,0,4,4,1,19,<=50K
24,2,11,8,0,10,4,1,1,38,<=50K
38,1,15,9,4,1,4,4,0,38,<=50K
10,4,15,9,4,6,3,2,0,38,<=50K
36,7,15,9,4,11,1,4,1,38,<=50K
29,4,9,12,2,4,0,4,0,33,<=50K
18,2,11,8,4,11,3,4,0,38,<=50K
28,2,12,13,0,10,3,4,1,53,>50K
24,7,10,15,2,10,0,4,0,48,>50K
19,4,11,8,2,3,0,4,0,38,<=50K
45,6,12,13,0,10,4,4,1,30,<=50K
8,0,11,8,2,0,5,4,1,3,<=50K
30,4,4,2,4,9,3,4,1,38,<=50K
28,0,11,8,5,0,4,4,1,9,<=50K
38,4,11,8,2,12,0,4,0,38,<=50K
41,4,11,8,2,5,0,4,0,19,<=50K
31,4,1,6,2,8,5,4,1,38,<=50K
5,6,11,8,4,8,3,4,0,38,<=50K
47,6,11,8,2,5,0,4,0,43,<=50K
35,6,12,13,2,4,0,1,0,38,<=50K
15,4,9,12,2,4,2,1,1,38,<=50K
43,4,11,8,2,8,5,4,1,38,<=50K
37,4,12,13,2,10,0,1,0,38,<=50K
33,2,0,5,4,8,1,4,0,38,<=50K
14,4,11,8,4,8,1,4,0,48,<=50K
28,4,11,8,0,1,1,1,1,38,<=50K
10,2,11,8,2,7,0,4,0,38,<=50K
19,4,11,8,2,4,0,4,0,48,<=50K
21,4,1,6,2,12,0,4,0,48,<=50K
40,4,12,13,3,10,1,4,1,38,>50K
35,1,15,9,5,4,1,4,1,38,<=50K
36,4,14,14,4,10,1,4,1,38,>50K
19,4,4,2,5,9,4,3,1,33,<=50K
2,4,1,6,4,6,1,4,0,38,<=50K
10,6,9,12,4,10,3,4,1,38,<=50K
28,1,7,11,0,1,4,1,0,38,<=50K
23,4,10,15,2,4,0,1,0,38,<=50K
17,4,11,8,4,1,1,4,1,38,<=50K
43,6,9,12,0,10,1,4,1,28,<=50K
34,4,11,8,2,12,0,1,0,48,<=50K
5,6,11,8,4,10,4,4,1,38,<=50K
40,4,6,4,2,3,0,2,0,38,<=50K
6,4,11,8,4,1,3,4,1,38,<=50K
33,4,7,11,2,3,0,4,0,43,<=50K
15,4,15,9,2,10,0,4,0,36,<=50K
29,4,9,12,4,12,1,4,0,38,<=50K
4,0,15,9,4,0,3,4,1,38,<=50K
4,4,0,5,5,12,4,2,1,36,<=50K
14,4,9,12,2,4,0,4,0,38,<=50K
5,4,11,8,4,12,3,4,0,53,<=50K
17,4,1,6,0,3,4,4,0,38,<=50K
20,4,6,4,2,8,0,4,0,38,<=50K
1,4,1,6,4,12,3,4,0,14,<=50K
30,4,7,11,2,3,0,4,0,38,<=50K
36,7,12,13,2,10,0,4,0,34,>50K
15,5,9,12,2,8,0,1,0,48,<=50K
31,4,15,9,4,4,1,4,1,38,<=50K
28,2,12,13,2,10,0,4,0,48,>50K
17,6,9,12,2,12,0,1,0,53,<=50K
2,0,11,8,4,0,1,3,0,28,<=50K
13,4,11,8,2,7,0,4,0,38,<=50K
21,4,9,12,4,12,1,4,1,43,<=50K
32,6,5,3,2,8,0,4,0,65,<=50K
20,4,11,8,2,4,0,4,0,48,<=50K
8,4,11,8,0,1,1,4,0,38,<=50K
32,4,0,5,2,14,0,2,0,40,<=50K
20,2,9,12,4,10,1,4,1,43,<=50K
5,1,7,11,4,8,3,4,0,19,<=50K
25,4,12,13,4,10,1,4,1,48,>50K
11,6,15,9,2,1,5,4,1,28,<=50K
31,4,15,9,0,1,4,4,1,38,<=50K
17,4,11,8,2,3,0,4,0,38,<=50K
5,4,15,9,4,3,3,4,0,28,<=50K
16,4,1,6,4,14,1,2,0,58,<=50K
23,4,11,8,0,1,3,4,0,38,<=50K
7,4,11,8,4,1,3,4,0,38,<=50K
42,4,11,8,2,14,0,4,0,38,<=50K
24,4,15,9,2,4,0,4,0,48,<=50K
30,5,15,9,2,12,0,4,0,71,<=50K
17,4,9,12,4,8,1,4,0,38,<=50K
17,4,15,9,5,8,4,2,1,35,<=50K
4,4,15,9,4,14,3,4,0,28,<=50K
54,5,9,12,2,4,0,4,0,58,>50K
13,6,9,12,2,12,0,4,0,65,>50K
31,7,12,13,5,10,1,4,0,58,<=50K
28,4,11,8,2,7,0,4,0,38,<=50K
30,6,11,8,2,14,0,4,0,43,<=50K
13,4,15,9,2,10,5,1,1,4,<=50K
17,4,9,12,4,4,1,4,0,48,<=50K
20,4,15,9,0,4,1,4,1,38,<=50K
44,4,11,8,2,1,5,4,1,4,<=50K
2,2,15,9,4,12,3,4,1,15,<=50K
36,4,9,12,0,4,1,4,0,65,<=50K
34,4,11,8,2,3,0,4,0,38,<=50K
22,4,11,8,2,3,0,4,0,38,<=50K
26,4,9,12,2,3,0,4,0,46,>50K
23,0,11,8,4,0,1,4,1,3,<=50K
25,1,11,8,0,1,4,2,1,38,<=50K
34,6,11,8,2,5,0,4,0,58,<=50K
26,5,14,14,2,10,0,4,0,38,>50K
13,4,15,9,4,7,1,4,1,38,<=50K
4,4,11,8,4,7,1,4,0,38,<=50K
3,4,1,6,2,5,3,4,0,38,<=50K
11,4,9,12,2,10,0,4,0,43,<=50K
33,4,11,8,2,3,0,4,0,14,<=50K
43,4,9,12,2,4,0,4,0,33,<=50K
20,4,11,8,0,12,4,4,1,38,<=50K
32,4,6,4,3,8,1,2,1,15,<=50K
30,4,9,12,4,12,1,2,0,58,<=50K
11,4,11,8,4,1,1,4,0,38,<=50K
5,4,15,9,4,12,3,4,1,19,<=50K
15,7,15,9,4,1,1,2,1,38,<=50K
16,4,11,8,2,14,0,4,0,38,<=50K
6,4,11,8,4,3,1,4,0,38,<=50K
8,4,15,9,4,4,2,4,1,43,<=50K
31,6,15,9,5,12,4,4,1,48,<=50K
6,4,12,13,4,10,1,4,0,38,<=50K
21,4,12,13,4,4,4,2,1,33,<=50K
25,4,8,10,4,3,1,4,0,42,<=50K
7,4,9,12,4,1,2,1,1,15,<=50K
54,1,11,8,6,4,1,4,0,8,<=50K
37,4,11,8,2,12,0,4,0,38,<=50K
40,4,11,8,0,1,4,4,1,38,<=50K
0,4,0,5,4,6,3,4,0,19,<=50K
28,6,15,9,2,4,0,0,0,38,<=50K
29,4,11,8,4,8,1,4,0,14,<=50K
6,2,9,12,4,10,3,0,0,28,<=50K
27,4,9,12,4,10,1,4,1,43,<=50K
27,4,9,12,4,10,1,4,1,43,<=50K
6,4,9,12,4,5,1,4,0,38,<=50K
18,4,11,8,2,3,0,4,0,30,<=50K
1,4,0,5,4,9,3,2,1,19,<=50K
46,4,11,8,2,12,5,4,1,33,<=50K
0,4,2,7,4,8,3,4,1,7,<=50K
29,4,5,3,3,9,4,4,1,23,<=50K
19,7,8,10,2,13,0,1,0,35,<=50K
27,4,11,8,2,1,5,4,1,28,<=50K
40,6,0,5,0,4,3,4,0,58,<=50K
15,4,9,12,2,1,5,4,1,33,<=50K
37,4,4,2,3,7,4,4,0,38,<=50K
16,4,11,8,2,3,0,4,0,38,<=50K
8,7,11,8,4,4,1,4,0,38,<=50K
10,4,9,12,4,10,1,4,0,43,<=50K
50,2,9,12,0,1,4,2,1,33,<=50K
17,5,9,12,4,10,1,3,0,58,<=50K
29,4,9,12,4,7,1,4,1,7,<=50K
27,4,0,5,0,1,4,4,1,38,<=50K
29,4,14,14,5,10,1,4,0,48,<=50K
12,4,1,6,2,6,5,1,1,13,<=50K
29,4,9,12,2,10,0,4,0,43,>50K
25,6,9,12,2,5,0,4,0,48,>50K
12,4,11,8,4,5,1,4,0,48,<=50K
23,2,11,8,4,1,3,4,1,38,<=50K
18,4,11,8,2,3,0,4,0,38,<=50K
14,4,7,11,0,4,1,4,0,38,<=50K
13,2,9,12,2,11,0,4,0,38,<=50K
18,1,6,4,2,5,0,2,0,38,<=50K
48,4,11,8,2,12,0,4,0,38,<=50K
16,4,11,8,0,1,3,4,0,38,<=50K
30,1,11,8,0,1,1,4,1,38,<=50K
24,4,14,14,2,10,0,4,0,48,>50K
27,7,9,12,2,10,0,0,0,36,<=50K
2,4,15,9,4,12,1,4,1,33,<=50K
0,4,0,5,4,12,3,4,1,14,<=50K
11,4,0,5,0,8,1,4,1,38,<=50K
24,4,15,9,2,7,0,2,0,38,<=50K
25,4,7,11,2,4,0,4,0,58,<=50K
30,4,8,10,2,3,0,4,0,38,<=50K
10,4,12,13,4,4,3,4,1,38,<=50K
20,4,11,8,4,1,1,4,0,40,<=50K
36,4,15,9,0,1,4,4,1,38,<=50K
34,4,2,7,2,3,0,4,0,43,<=50K
18,2,15,9,2,8,0,4,0,38,<=50K
41,6,11,8,2,12,0,4,0,53,<=50K
24,1,7,11,2,10,0,4,0,38,<=50K
