car,cylinders,displacement,horsepower,weight,acceleration,model,origin,mpg
oldsmobile starfire sx,4,151,85.0,2855,17.6,78,1,26.715185294631183
mazda rx-7 gs,3,70,100.0,2420,12.5,80,3,29.189329200975777
toyota corolla,4,108,70.0,2245,16.9,82,3,28.920104746346112
oldsmobile vista cruiser,8,350,180.0,4499,12.5,73,1,12.99379108556029
mercury lynx l,4,98,70.0,2125,17.3,82,1,29.253114390679166
ford ltd,8,351,148.0,4657,13.5,75,1,14.609509814103639
chevrolet malibu,8,350,145.0,3988,13.0,73,1,14.797406374753507
datsun b210 gx,4,85,70.0,2070,18.6,78,3,29.68602692831213
mercury capri v6,6,155,107.0,2472,14.0,73,1,24.34879286131715
maxda glc deluxe,4,86,65.0,1975,15.2,79,3,29.91038529090643
volvo 245,4,130,102.0,3150,15.7,76,2,26.538463835836748
amc concord dl 6,6,232,90.0,3265,18.2,79,1,22.660660311846502
mercury grand marquis,8,351,138.0,3955,13.2,79,1,15.124828468158842
ford futura,8,302,139.0,3205,11.2,78,1,16.705043859985274
triumph tr7 coupe,4,122,88.0,2500,15.1,80,2,27.526317666980475
amc concord,6,232,90.0,3210,17.2,78,1,22.660660311846502
ford pinto,4,122,80.0,2451,16.5,74,1,27.938572590224638
datsun 280-zx,6,168,132.0,2910,11.4,80,3,22.627583688546174
toyota corolla,4,108,75.0,2350,16.8,81,3,28.662445419318512
plymouth volare premier v8,8,318,150.0,3940,13.2,76,1,15.605377909591667
chevrolet camaro,4,151,90.0,2950,17.3,82,1,26.457525967603583
subaru dl,4,97,67.0,1985,16.4,77,3,29.441010951329034
ford granada,6,250,98.0,3525,19.0,77,1,21.648988028802844
chevrolet chevette,4,85,52.0,2035,22.2,76,1,30.6136005056115
volvo 145e (sw),4,121,112.0,2933,14.5,72,2,26.32285386168129
volvo 144ea,4,121,112.0,2868,15.5,73,2,26.32285386168129
plymouth champ,4,86,64.0,1875,16.4,81,1,29.961917156311948
ford torino 500,6,250,88.0,3302,15.5,71,1,22.164306682858047
audi 5000s (diesel),5,121,67.0,2950,19.9,80,2,28.092044036600026
dodge coronet custom,8,318,150.0,3777,12.5,73,1,15.605377909591667
honda prelude,4,107,75.0,2210,14.4,81,3,28.695746383751818
ford fairmont,4,140,88.0,2870,18.1,80,1,26.92690030718098
chevrolet cavalier,4,112,88.0,2605,19.6,82,1,27.859327311313525
plymouth valiant custom,6,225,95.0,3264,16.0,75,1,22.636107735852036
mercury zephyr,6,200,85.0,3070,16.7,78,1,23.98395050073987
renault lecar deluxe,4,85,104.659375,1835,17.3,80,2,27.899964680772673
datsun 210,4,85,65.0,2110,19.2,80,3,29.943686255339735
ford granada gl,6,200,88.0,3060,17.1,81,1,23.829354904523306
plymouth arrow gs,4,122,96.0,2300,15.5,77,1,27.114062743736312
ford thunderbird,8,351,149.0,4335,14.5,77,1,14.557977948698117
ford fairmont futura,4,140,92.0,2865,16.4,82,1,26.720772845558898
dodge magnum xe,8,318,140.0,4080,13.7,78,1,16.120696563646874
dodge colt (sw),4,98,80.0,2164,15.0,72,1,28.737795736623962
oldsmobile cutlass ciera (diesel),6,262,85.0,3015,17.0,82,1,21.91929070587495
buick century,6,231,110.0,3415,15.8,81,1,21.663323968169397
oldsmobile omega brougham,6,173,115.0,2700,12.9,79,1,23.337120578273495
chrysler new yorker brougham,8,440,215.0,4735,11.0,73,1,8.193088997369614
fiat 124 sport coupe,4,98,90.0,2265,15.5,73,2,28.22247708256876
dodge challenger se,8,383,170.0,3563,10.0,70,1,12.410177913316424
