A,B,C,D,E,F,G,Location
-60,-52,-59,-65,-66,-82,-80,1
-58,-56,-50,-58,-47,-87,-80,4
-49,-45,-50,-48,-61,-79,-84,3
-64,-66,-54,-67,-70,-83,-82,1
-66,-57,-62,-61,-74,-81,-89,1
-62,-53,-58,-65,-67,-82,-84,1
-44,-55,-61,-41,-66,-72,-68,2
-64,-57,-63,-71,-77,-87,-83,1
-59,-53,-45,-57,-45,-81,-82,4
-48,-57,-53,-43,-64,-81,-85,3
-64,-56,-64,-65,-75,-85,-90,1
-47,-56,-58,-56,-62,-81,-83,3
-60,-54,-57,-66,-64,-81,-83,1
-56,-55,-44,-60,-49,-84,-80,4
-62,-55,-57,-62,-70,-82,-86,1
-40,-54,-52,-38,-60,-69,-75,2
-65,-57,-54,-70,-50,-88,-85,4
-43,-58,-56,-43,-67,-78,-82,2
-61,-52,-49,-68,-45,-85,-92,4
-61,-52,-54,-63,-64,-84,-82,1
-34,-54,-56,-42,-68,-76,-75,2
-51,-53,-54,-53,-62,-83,-82,3
-46,-51,-55,-42,-62,-79,-78,3
-49,-57,-51,-44,-57,-85,-79,3
-61,-56,-58,-67,-68,-80,-81,1
-53,-58,-50,-52,-66,-78,-79,3
-35,-57,-54,-35,-64,-78,-76,2
-50,-59,-53,-54,-65,-77,-78,3
-63,-58,-64,-67,-74,-87,-87,1
-17,-66,-61,-37,-68,-75,-77,2
-63,-62,-49,-63,-45,-92,-86,4
-59,-56,-50,-60,-52,-81,-85,4
-61,-56,-66,-65,-71,-85,-88,1
-51,-62,-53,-51,-64,-86,-79,3
-40,-54,-54,-45,-71,-76,-74,2
-63,-58,-54,-67,-43,-88,-98,4
-68,-57,-62,-68,-77,-91,-86,1
-46,-58,-56,-43,-70,-72,-80,2
-62,-53,-57,-60,-69,-87,-86,1
-53,-55,-52,-46,-63,-86,-85,3
-19,-53,-60,-37,-69,-72,-69,2
-42,-57,-61,-43,-73,-67,-66,2
-51,-55,-51,-48,-63,-88,-84,3
-54,-61,-51,-44,-63,-79,-76,3
-47,-58,-49,-45,-66,-85,-79,3
-41,-56,-50,-43,-66,-77,-76,2
-39,-52,-50,-39,-61,-75,-71,2
-55,-52,-45,-62,-46,-87,-85,4
-61,-60,-52,-57,-51,-91,-86,4
-52,-60,-52,-48,-70,-79,-79,3
-51,-47,-50,-49,-59,-80,-85,3
-59,-51,-56,-58,-50,-88,-86,4
-49,-58,-55,-52,-60,-83,-84,3
-59,-51,-57,-59,-53,-87,-92,4
-68,-57,-61,-65,-71,-85,-85,1
-46,-53,-50,-53,-64,-81,-86,3
-53,-55,-54,-51,-69,-79,-81,3
-61,-58,-53,-57,-45,-86,-90,4
-49,-61,-55,-53,-72,-85,-92,3
-18,-53,-60,-17,-71,-74,-71,2
-62,-58,-61,-68,-70,-85,-86,1
-36,-55,-51,-37,-75,-71,-70,2
-63,-57,-63,-64,-67,-81,-83,1
-39,-54,-55,-37,-64,-70,-70,2
-46,-56,-53,-53,-61,-87,-77,3
-36,-54,-52,-20,-66,-70,-74,2
-51,-52,-51,-51,-64,-79,-89,3
-41,-60,-54,-43,-73,-80,-74,2
-50,-52,-51,-54,-67,-77,-88,3
-60,-53,-59,-64,-65,-76,-81,1
-64,-57,-54,-69,-43,-88,-92,4
-51,-58,-51,-51,-62,-79,-86,3
-51,-55,-51,-49,-61,-82,-81,3
-48,-53,-50,-55,-66,-83,-82,3
-63,-57,-62,-65,-76,-82,-88,1
-65,-56,-65,-63,-68,-82,-93,1
-58,-51,-59,-65,-74,-86,-82,1
-59,-56,-55,-59,-54,-87,-88,4
-58,-60,-50,-61,-50,-87,-78,4
-59,-52,-56,-59,-51,-89,-84,4
-48,-50,-55,-50,-66,-78,-75,3
-67,-56,-65,-68,-82,-96,-89,1
-48,-57,-60,-44,-71,-85,-77,2
-44,-57,-53,-46,-67,-78,-79,3
-50,-54,-49,-46,-64,-85,-77,3
-67,-61,-63,-65,-71,-81,-87,1
-50,-57,-57,-50,-70,-77,-80,3
-63,-59,-57,-65,-69,-80,-86,1
-43,-58,-56,-41,-69,-79,-78,2
-56,-54,-48,-57,-51,-84,-89,4
-54,-54,-50,-54,-60,-81,-79,3
-67,-57,-67,-68,-75,-85,-80,1
-63,-51,-57,-60,-66,-79,-82,1
-58,-53,-61,-62,-64,-78,-81,1
-58,-55,-51,-61,-44,-88,-86,4
-59,-54,-59,-60,-50,-87,-86,4
-47,-56,-54,-51,-63,-81,-86,3
-35,-53,-57,-46,-64,-65,-70,2
-46,-55,-53,-52,-57,-81,-86,3
-46,-53,-51,-49,-68,-79,-85,3
-47,-58,-50,-55,-64,-76,-74,3
-52,-56,-53,-53,-70,-80,-78,3
-52,-57,-49,-50,-66,-80,-80,3
-63,-59,-61,-61,-66,-79,-80,1
-62,-58,-57,-58,-69,-94,-77,1
-61,-54,-64,-63,-68,-83,-81,1
-68,-57,-60,-61,-73,-87,-87,1
-48,-58,-56,-38,-65,-67,-76,2
-41,-58,-54,-42,-71,-65,-71,2
-52,-52,-52,-49,-62,-80,-80,3
-40,-59,-67,-50,-68,-79,-78,2
-38,-55,-54,-42,-63,-78,-71,2
-69,-52,-48,-66,-48,-88,-87,4
-59,-55,-61,-65,-68,-84,-84,1
-52,-55,-52,-43,-61,-86,-83,3
-61,-56,-64,-61,-72,-83,-86,1
-52,-56,-51,-48,-64,-87,-84,3
-58,-56,-49,-60,-53,-86,-91,4
-45,-59,-57,-51,-62,-77,-85,3
-49,-52,-54,-52,-60,-83,-79,3
-63,-58,-46,-66,-49,-93,-93,4
-64,-60,-53,-60,-48,-89,-89,4
-19,-59,-55,-37,-73,-72,-66,2
-51,-52,-52,-56,-68,-79,-87,3
-48,-47,-51,-52,-60,-74,-79,3
-63,-56,-50,-56,-49,-89,-92,4
-66,-56,-55,-67,-48,-87,-87,4
-63,-59,-54,-77,-42,-91,-92,4
-50,-53,-53,-54,-67,-78,-86,3
-41,-57,-63,-40,-73,-66,-65,2
-66,-57,-65,-69,-78,-85,-85,1
-59,-51,-57,-59,-52,-87,-86,4
-49,-57,-52,-51,-60,-89,-83,3
-61,-52,-49,-56,-46,-84,-83,4
-60,-55,-58,-57,-75,-74,-82,1
-52,-55,-51,-49,-62,-86,-84,3
-38,-54,-51,-37,-66,-74,-76,2
-62,-56,-57,-63,-69,-87,-91,1
-58,-50,-61,-68,-64,-85,-91,1
-50,-54,-53,-46,-66,-78,-87,3
-48,-52,-49,-52,-63,-79,-77,3
-45,-54,-53,-45,-68,-75,-84,3
-68,-55,-63,-61,-74,-79,-85,1
-59,-59,-49,-62,-47,-82,-81,4
-70,-62,-68,-65,-81,-89,-83,1
-61,-52,-49,-58,-51,-91,-84,4
-51,-52,-51,-50,-69,-77,-88,3
-58,-53,-44,-62,-52,-84,-88,4
-60,-58,-53,-55,-53,-83,-84,4
-37,-53,-51,-37,-66,-71,-75,2
-61,-56,-55,-63,-52,-84,-87,4
-66,-58,-58,-68,-73,-85,-78,1
-68,-55,-67,-70,-76,-82,-81,1
-52,-61,-48,-60,-51,-80,-80,4
-62,-57,-60,-61,-69,-93,-90,1
-60,-56,-48,-61,-49,-92,-82,4
-41,-54,-59,-41,-60,-76,-74,2
-41,-56,-56,-38,-72,-67,-70,2
-68,-55,-73,-65,-76,-82,-82,1
-61,-54,-52,-65,-49,-85,-91,4
-61,-57,-53,-65,-50,-87,-91,4
-39,-52,-53,-36,-61,-67,-70,2
-47,-51,-56,-50,-60,-78,-80,3
-61,-53,-50,-59,-46,-84,-93,4
-34,-60,-52,-37,-71,-66,-75,2
-57,-56,-59,-59,-64,-79,-78,1
-55,-52,-46,-59,-53,-88,-84,4
-60,-52,-49,-61,-51,-85,-81,4
-40,-54,-52,-39,-65,-70,-74,2
-58,-54,-46,-55,-50,-87,-91,4
-55,-58,-55,-54,-70,-81,-87,3
-61,-50,-50,-58,-48,-88,-87,4
-65,-56,-62,-62,-68,-83,-90,1
-40,-55,-52,-43,-60,-76,-72,2
-35,-53,-55,-47,-61,-66,-71,2
-54,-52,-53,-43,-68,-79,-79,3
-62,-50,-61,-64,-73,-80,-81,1
-66,-59,-52,-63,-59,-88,-87,4
-49,-53,-51,-53,-67,-81,-83,3
-59,-54,-59,-59,-67,-86,-80,1
-59,-56,-58,-66,-51,-92,-88,4
-59,-52,-50,-55,-55,-87,-85,4
-50,-57,-50,-59,-62,-91,-93,3
-15,-55,-62,-25,-71,-67,-68,2
-45,-46,-58,-53,-59,-77,-82,3
-59,-50,-57,-59,-51,-87,-85,4
-53,-54,-56,-52,-63,-81,-85,3
-61,-57,-54,-67,-52,-89,-86,4
-56,-52,-50,-58,-57,-85,-88,4
-45,-53,-55,-49,-63,-78,-81,3
-65,-56,-63,-71,-77,-89,-85,1
-47,-53,-49,-49,-66,-76,-80,3
-48,-58,-52,-53,-61,-88,-83,3
-48,-56,-54,-39,-67,-78,-82,3
-59,-50,-57,-60,-49,-91,-86,4
-51,-55,-56,-49,-58,-84,-84,3
-62,-51,-58,-65,-72,-80,-88,1
-56,-51,-62,-62,-71,-77,-82,1
-61,-57,-57,-66,-55,-83,-87,4
-60,-53,-60,-62,-73,-81,-82,1
-42,-52,-54,-35,-65,-69,-73,2
-46,-53,-54,-52,-64,-79,-84,3
-51,-48,-56,-53,-61,-80,-79,3
-36,-58,-59,-36,-69,-71,-77,2
-48,-53,-56,-37,-59,-75,-83,3
-66,-57,-55,-64,-52,-91,-87,4
-60,-54,-59,-65,-73,-83,-84,1
-62,-58,-59,-59,-67,-80,-77,1
-49,-56,-59,-49,-74,-82,-80,2
-62,-56,-64,-69,-75,-81,-84,1
-64,-55,-48,-61,-50,-83,-87,4
-40,-55,-56,-41,-70,-74,-73,2
-61,-55,-52,-61,-44,-88,-92,4
-58,-56,-48,-65,-49,-87,-81,4
-54,-57,-50,-61,-53,-83,-82,4
-46,-58,-54,-48,-63,-78,-75,3
-59,-50,-45,-60,-45,-88,-87,4
-54,-46,-48,-55,-48,-84,-85,4
-46,-48,-52,-52,-62,-77,-80,3
-66,-58,-64,-67,-71,-85,-87,1
-62,-54,-48,-62,-48,-86,-86,4
-64,-63,-56,-64,-47,-92,-83,4
-61,-61,-51,-62,-54,-85,-91,4
-48,-52,-52,-56,-68,-81,-84,3
-58,-51,-49,-61,-48,-88,-85,4
-63,-56,-51,-57,-45,-88,-88,4
-43,-59,-54,-39,-63,-79,-87,3
-50,-62,-57,-45,-62,-81,-78,3
-63,-58,-65,-66,-78,-81,-88,1
-57,-56,-48,-60,-49,-84,-88,4
-61,-59,-56,-64,-50,-85,-87,4
-38,-57,-61,-38,-69,-73,-70,2
-63,-52,-43,-63,-51,-87,-88,4
-36,-55,-53,-35,-64,-72,-66,2
-62,-57,-44,-61,-44,-89,-87,4
-65,-61,-65,-67,-69,-87,-84,1
-61,-54,-48,-58,-47,-91,-88,4
-62,-57,-60,-65,-72,-83,-87,1
-60,-54,-50,-50,-60,-84,-85,3
-62,-57,-56,-63,-66,-84,-82,1
-58,-51,-51,-56,-54,-85,-83,4
-62,-60,-66,-68,-80,-86,-91,1
-65,-57,-55,-64,-50,-92,-85,4
-60,-63,-54,-63,-47,-88,-92,4
-50,-55,-52,-47,-65,-83,-91,3
-66,-54,-54,-64,-47,-89,-86,4
-50,-54,-52,-49,-67,-79,-86,3
-49,-56,-53,-52,-58,-89,-86,3
-39,-58,-54,-39,-62,-71,-77,2
-49,-62,-56,-50,-63,-83,-89,3
-17,-63,-65,-27,-86,-72,-74,2
-39,-56,-53,-46,-57,-73,-77,2
-64,-52,-57,-61,-66,-82,-81,1
-38,-56,-53,-47,-61,-72,-83,2
-62,-59,-63,-64,-70,-84,-84,1
-34,-55,-58,-15,-65,-73,-72,2
-64,-59,-65,-64,-74,-88,-90,1
-39,-54,-61,-43,-75,-64,-74,2
-58,-48,-59,-59,-64,-84,-77,1
-52,-55,-52,-52,-62,-82,-84,3
-61,-49,-42,-66,-43,-80,-91,4
-27,-59,-56,-38,-62,-75,-79,2
-65,-57,-63,-71,-76,-87,-86,1
-50,-55,-51,-57,-58,-86,-86,3
-58,-57,-45,-58,-42,-88,-88,4
-49,-56,-57,-51,-65,-87,-81,3
-51,-55,-52,-49,-64,-86,-83,3
-61,-55,-58,-67,-69,-84,-86,1
-46,-53,-53,-43,-59,-83,-78,3
-49,-64,-53,-52,-63,-73,-78,3
-65,-58,-70,-66,-71,-85,-83,1
-40,-50,-52,-48,-68,-73,-71,2
-62,-59,-59,-64,-65,-80,-81,1
-62,-59,-62,-60,-68,-80,-89,1
-63,-57,-57,-65,-75,-83,-76,1
-48,-51,-54,-51,-58,-80,-77,3
-61,-56,-65,-59,-68,-86,-88,1
-65,-59,-61,-67,-70,-80,-83,1
-40,-58,-47,-41,-65,-73,-70,2
-48,-63,-58,-44,-74,-79,-78,2
-47,-60,-59,-55,-70,-79,-85,3
-57,-60,-47,-59,-50,-79,-88,4
-49,-52,-57,-54,-59,-85,-88,3
-51,-57,-52,-49,-60,-84,-83,3
-40,-50,-50,-37,-64,-71,-78,2
-63,-48,-51,-59,-69,-77,-82,1
-26,-57,-53,-37,-67,-72,-69,2
-41,-56,-60,-39,-72,-74,-66,2
-52,-54,-53,-51,-61,-83,-81,3
-47,-60,-56,-48,-85,-85,-81,2
-42,-55,-57,-38,-71,-71,-76,2
-64,-55,-55,-66,-49,-88,-88,4
-60,-51,-61,-63,-64,-86,-81,1
-62,-55,-65,-59,-69,-86,-87,1
-59,-57,-59,-64,-73,-79,-84,1
-50,-51,-49,-48,-54,-77,-77,3
-45,-58,-54,-46,-69,-87,-77,3
-61,-50,-59,-67,-65,-79,-86,1
-36,-56,-53,-43,-63,-65,-70,2
-60,-58,-60,-61,-73,-84,-88,1
-40,-57,-58,-38,-64,-74,-79,2
-52,-57,-53,-47,-57,-80,-83,3
-64,-57,-48,-60,-39,-88,-85,4
-64,-51,-57,-67,-68,-84,-82,1
-67,-65,-67,-68,-75,-87,-84,1
-61,-55,-63,-64,-69,-83,-82,1
-56,-50,-58,-63,-68,-83,-83,1
-61,-51,-58,-62,-71,-80,-84,1
